framing_id,cluster_id,is_hostile,confidence,operation_name,analyzed_at,hostile_narrative,event_fact,state_framing,framing_delta
45,5343,f,0.7,,2026-03-21 21:52:12.900127+00,,Auto-classified clean by Fisher pre-screen (score=-1.52),,
46,5496,t,0.9,Hostile framing of a legal decision as politically motivated and dangerous,2026-03-21 21:57:47.599396+00,baltic_failed_states,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA and presidential spokesman condemning it. They emphasize that the decision is not final, highlight the potential danger to Butyagin's life and health if extradited, and portray him as a 'hostage of the Kyiv regime.' They also report on the defense's intention to appeal and the role of the Polish Prosecutor General.","Russian state media adds significant political commentary and emotional appeals, characterizing the legal process as 'political' and without 'legal grounds.' They introduce the idea of Butyagin becoming a 'hostage' and express concerns for his life, which are not present in the trusted media's factual reporting. This goes beyond mere editorial emphasis to a deliberate attempt to delegitimize the Polish court's decision and evoke sympathy."
47,5461,t,0.8,Hedging language used to question airspace violation claims and dismiss them as routine.,2026-03-21 21:57:50.917408+00,nato_provocation,"Estonia reported that a Russian Su-30 fighter jet violated its airspace near Vaindloo island for approximately one minute, leading to the Estonian Ministry of Foreign Affairs summoning a Russian diplomat to issue a protest note.","Russian state media reports on Estonia's accusation of airspace violation, often using hedging language like 'allegedly' (якобы) or 'as claimed' (как утверждается) when referring to the violation. Some outlets also mention that such statements from Estonia are 'constant' (с завидным постоянством) and that Italian Air Force planes intercepted, implying no real threat.","Russian state media uses hedging language ('allegedly', 'as claimed') to cast doubt on the veracity of Estonia's report, implying it might not have happened or is exaggerated. One state-affiliated outlet also dismisses the incident as a 'constant' complaint from Estonia and highlights that NATO planes responded, downplaying any perceived threat. This contrasts with trusted media which reports the event as a direct statement of fact from Estonian authorities."
48,5237,f,0.7,,2026-03-21 21:57:54.978791+00,,Auto-classified clean by Fisher pre-screen (score=-0.96),,
49,5138,t,0.8,Hostile framing of US envoy's statements to legitimize Lukashenko and downplay Ukraine conflict,2026-03-21 21:58:01.959771+00,"","US Special Envoy John Cole met with Belarusian President Alexander Lukashenko in Minsk, following a visit to Vilnius.","Russian state media emphasizes the meeting between Lukashenko and Cole, highlighting Cole's statements that Lukashenko's opinion is 'valuable' and that the Middle East situation is more important to the US than the conflict in Ukraine. They also report on the lifting of sanctions on Belarusian entities and a potential invitation for Lukashenko to visit the US, framing it as a 'real victory' for Belarus.","Russian state media, particularly RT and Pul Pervogo, selectively highlight Cole's statements to portray Lukashenko as a respected international figure whose opinion is valued by the US, and to suggest a shift in US priorities away from Ukraine. They also emphasize the lifting of sanctions as a 'victory' for Belarus. While the lifting of sanctions is reported by independent media, the specific quotes attributed to Cole regarding Lukashenko's 'valuable opinion' and the US prioritizing the Middle East over Ukraine appear to be amplified and framed to serve a specific narrative by state media. The claim of Lukashenko being invited to the US is also presented as a definitive outcome by some state-aligned sources."
50,5656,f,0.7,,2026-03-21 21:58:05.995371+00,,Auto-classified clean by Fisher pre-screen (score=-1.43),,
51,5625,f,0.7,"",2026-03-21 21:58:13.595483+00,"",Finnish President Alexander Stubb suggested Europe could offer military assistance to the US in the Strait of Hormuz in exchange for increased US support for Ukraine.,"Russian state media focuses on Stubb's concern that US attention is shifting from Ukraine to Iran, implying a weakening of US commitment to Ukraine. TASS and RT introduce a narrative about Europe refusing to help the US because it wasn't consulted, and RT suggests Stubb 'supported the idea of helping the US in the Middle East in exchange for steps on Ukraine,' framing it as a transactional offer.","Russian state media, particularly Interfax and Kommersant, emphasize Stubb's 'concern' about US attention shifting, which is a partial truth but omits the core of his proposal – a strategic exchange. TASS and RT introduce a slightly different angle, with TASS claiming Europe 'refused to help' because of lack of consultation (which was part of Stubb's explanation for reluctance, not a blanket refusal of the idea of a deal), and RT framing it as Stubb 'supporting the idea of help' in exchange for Ukraine steps, which is closer to the truth but still lacks the full context of the 'deal' proposal. The overall effect is to portray US commitment to Ukraine as wavering and Europe as potentially transactional or unwilling to cooperate without consultation, rather than focusing on Stubb's proactive proposal for a quid pro quo."
52,5328,f,0.7,,2026-03-21 21:58:13.606168+00,,Auto-classified clean by Fisher pre-screen (score=-1.36),,
53,5264,f,0.7,,2026-03-21 21:58:17.634809+00,,Auto-classified clean by Fisher pre-screen (score=-1.02),,
54,5448,f,0.7,,2026-03-21 21:58:21.659652+00,,Auto-classified clean by Fisher pre-screen (score=-1.31),,
55,5340,t,0.7,Exaggerated diplomatic breakthrough,2026-03-21 21:58:24.734021+00,"","US Special Envoy John Coale met with Belarusian President Alexander Lukashenka in Minsk, leading to the release of some political prisoners and discussions about a potential visit by Lukashenka to Washington.","Russian state media emphasizes the potential visit of Lukashenka to the US, portraying it as a significant diplomatic development. They also report on the release of political prisoners as a result of these negotiations, and Coale's optimistic statements about future releases and direct flights to Minsk. Some outlets attribute the visit announcement to a Telegram channel close to Lukashenka.","Russian state media, particularly Kommersant, directly states that the US announced preparations for an official visit by Lukashenka, citing a Telegram channel close to Lukashenka. This is a stronger, more definitive statement than what appears in the trusted media, which uses more cautious language like 'possible visit' or 'reported about the preparation of a possible visit.' The Russian state media also omits Lukashenka's denial of 'political articles' in Belarusian law, which is present in one of the trusted sources."
56,5191,f,0.7,,2026-03-21 21:58:28.75389+00,,Auto-classified clean by Fisher pre-screen (score=-0.93),,
