id,name,severity,confidence,linked_signals,first_signal,last_signal,n_categories,has_state
126,rezident_ua blitz — 10 posts (z=4.9),MEDIUM,0.98652166,10,2026-03-22 06:45:04+00,2026-03-22 19:18:33+00,1,f
125,Bild Baltic Map Panic — Ukrainian Channel Fabrication (10 signals),HIGH,0.95,0,,,0,f
124,western_fatigue spike — err_rus, rt_russian, RVvoenkor (7 signals),MEDIUM,0.6,7,2026-03-21 19:37:00+00,2026-03-22 13:59:58+00,3,t
123,Hostile framing of US envoy's statements to legitimize Lukashenko and downplay Ukraine conflict,HIGH,0.8,11,2026-03-16 09:34:01+00,2026-03-21 15:00:10+00,4,t
122,Omission of Russian involvement in shadow fleet activities,MEDIUM,0.9,2,2026-03-13 02:33:47+00,2026-03-16 09:52:59+00,2,t
121,Widespread Mobile Internet Outages Are Lawful and Needed for… — Injection cascade: 2-category amplification over 9d (6 signals),MEDIUM,0.6666667,6,2026-03-10 11:56:24+00,2026-03-18 22:13:00+00,2,f
120,Omission of official apology to control narrative,HIGH,0.8,14,2026-03-18 15:53:35+00,2026-03-21 13:19:03+00,3,t
119,Systematic doubt-casting and downplaying of airspace violation,HIGH,0.8,14,2026-03-17 08:09:28+00,2026-03-19 13:10:31+00,6,t
118,Systematic omission of public discontent regarding livestock culling,HIGH,0.9,11,2026-03-12 04:16:08+00,2026-03-20 04:20:37+00,2,t
117,Coordinated amplification of Trump's anti-NATO rhetoric to portray alliance as failing and divided,MEDIUM,0.9,15,2026-03-14 10:21:01+00,2026-03-17 16:10:30+00,4,t
111,Trusted media amplifies Russia-as-culture-weapon narrative across 3 Baltic categories,MEDIUM,0.41666666,9,2026-03-09 14:31:00+00,2026-03-13 20:03:00+00,3,f
108,Fabricated quote to portray US-Europe disunity,HIGH,0.9,10,2026-03-17 00:42:00+00,2026-03-18 15:17:00+00,5,t
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,0.9,14,2026-03-18 09:38:07+00,2026-03-19 11:06:59+00,6,t
104,Manufactured outrage: tass_ru/rt_russian creates 4-article reaction chain over Крикунова Латвии,MEDIUM,0.85,4,2026-03-20 06:15:53+00,2026-03-20 14:13:26+00,1,t
86,War Panic,HIGH,0,0,,,0,f
84,Russophobia,HIGH,0,0,,,0,f
83,Isolation,HIGH,0,0,,,0,f
77,Delegitimization,HIGH,0,0,,,0,f
72,Baltic Political Repression Narrative Blitz,HIGH,1,42,2026-03-09 14:30:38+00,2026-03-14 12:39:41+00,3,f
71,Kallas foreign policy criticism amplification,MEDIUM,0.15,3,2026-03-11 04:11:00+00,2026-03-13 17:06:03+00,1,f
70,Chaplygin-Kallas anti-Western framing push,MEDIUM,1,20,2026-03-08 05:23:25+00,2026-03-13 21:00:57+00,3,t
69,KOOS Russian Genocide Propaganda Push,CRITICAL,0.4,4,2026-03-07 03:21:56+00,2026-03-09 08:29:36+00,0,f
68,Narva Separatism Propaganda Surge,CRITICAL,0.4,4,2026-03-07 17:05:00+00,2026-03-12 14:30:00+00,2,f
67,Chaplygin EKRE Nuclear Fear Amplification,HIGH,0.4,8,2026-03-07 18:30:52+00,2026-03-13 12:11:00+00,3,t
66,KOOS Anti-Estonia YouTube Blitz,MEDIUM,0.7,14,2026-03-08 00:00:00+00,2026-03-09 08:36:23+00,0,f
65,Baltic Energy Crisis Disinformation Push,HIGH,1,12,2026-03-06 15:05:06+00,2026-03-12 17:27:01+00,2,f
64,Stefanov Baltic Repression Narrative Blitz,HIGH,1,26,2026-03-06 10:08:01+00,2026-03-12 22:31:38.186298+00,3,f
63,Estonian Language Militarization Push,HIGH,1,34,2026-03-06 10:00:32+00,2026-03-12 17:16:39+00,3,t
62,Baltic Tension Amplification by Pro-Russian Media,HIGH,1,43,2026-03-06 05:47:01+00,2026-03-12 22:31:38.186298+00,3,t
59,Baltic War Fear Propaganda Push,CRITICAL,1,225,2026-03-06 06:47:18+00,2026-03-12 21:12:47+00,4,t
(30 rows)
