cluster_id,event_fact,state_framing,trusted_framing,framing_delta,is_hostile,hostile_narrative,confidence,operation_name,analyzed_at,signal_count,has_state,has_trusted,sources,categories
3865,"Lithuanian trucks, stranded in Belarus after border closure, are being returned to Lithuania. Belarus stated it would not confiscate them, despite earlier deadlines.","Russian state media reports that over 60% of the stranded trucks have returned to Lithuania, citing a Lithuanian official. It also highlights Belarus's decision not to confiscate the trucks, quoting the Belarusian Prime Minister.",Trusted media confirms Belarus's decision not to confiscate the trucks and reports on the return of some vehicles. It also provides context about the financial burden on Lithuanian carriers due to storage fees and mentions the EU's view that Belarus's actions were 'unacceptable and unjustified'. Some reports mention Lukashenko's involvement and a potential reduction in storage fees.,"Russian state media focuses on the positive outcome (trucks returning, no confiscation) and attributes the information to official sources. Trusted media provides a broader context, including the negative impact on Lithuanian carriers, the EU's stance, and the humanitarian aspect of Belarus's decision, while also reporting on the return of trucks and the non-confiscation.",f,"",0.9,"",2026-03-21 19:28:41.907168+00,9,t,t,"{delfi_lt_rus,kommersant,NULL}","{baltic_media,russian_state}"
3941,"Eight EU countries (Germany, Poland, Latvia, Lithuania, Estonia, Finland, Sweden, Romania) called on the EU to ban entry to the Schengen area for Russian citizens who participated in military actions in Ukraine.","Russian state media reports that eight EU countries called for a ban on entry to the Schengen zone for Russian citizens who participated in military actions in Ukraine, citing Politico.","Trusted/independent media confirm that leaders from eight EU countries signed a letter to the European Council and European Commission, urging an EU-wide ban on entry for Russians who participated in the war in Ukraine. Some Baltic outlets highlight their own leaders' involvement and the rationale of internal security.","Both state and independent media report the same core fact: eight EU countries called for a ban on entry for Russian combatants. The Russian state media coverage is factual and directly attributes the information to Politico, a Western source. There is no apparent fabrication, manufactured outrage, or hostile framing beyond reporting the news itself. Independent media provides slightly more detail on the rationale (internal security) and specific leaders involved, but this is not a contradiction.",f,"",0.9,"",2026-03-21 19:28:36.570497+00,9,t,t,"{delfi_lt_rus,err_rus,kommersant,tribuna_ee,NULL}","{baltic_media,estonian_media,russian_independent,russian_language_ee,russian_state}"
3810,US Special Envoy John Cole met with Belarusian President Lukashenko in Minsk and also visited Lithuania.,"Russian state media focuses on the meeting between Lukashenko and Cole, highlighting it as 'negotiations' and 'another meeting'. Pul Pervogo, a channel close to Lukashenko, frames the visit in the context of 'sanction paradoxes' and 'what the world media writes about Belarus', implying a significant international interest in Belarus and potential shifts in US policy regarding sanctions and Belarusian potash.","Trusted/independent media reports on Cole's visit to both Minsk and Vilnius. Some sources speculate on the purpose of the visit, suggesting it might involve discussions about lifting sanctions on Belarusian potash and transit through Lithuania, potentially due to a 'war in the Persian Gulf' or US desire for normalization. Lithuanian media reports on Cole meeting with various Lithuanian officials and politicians, indicating a broader diplomatic engagement beyond just the Belarusian issue.","Russian state media, particularly Pul Pervogo, attempts to elevate the significance of the meeting by framing it as a major international event with implications for sanctions and global trade, and by suggesting that the US is actively seeking to normalize relations and lift sanctions. It also hints at a potential US push for Belarusian potash transit through Lithuania. Independent media, while acknowledging the meeting and potential sanction discussions, provides a more nuanced view, including Cole's engagements in Lithuania and broader geopolitical context without the same level of implied triumph or immediate policy shifts.",f,"",0.8,"",2026-03-21 19:28:30.933387+00,9,t,t,"{delfi_lt_rus,interfax,kommersant,pul_1,verstka,NULL}","{baltic_media,russian_independent,russian_state,ru_state}"
4306,"Finnish President Alexander Stubb commented on Europe's potential military assistance to the US in the Strait of Hormuz in exchange for US support for Ukraine, and the US focus on Iran.","Russian state media focuses on Stubb's concern that the US is shifting its attention from Ukraine to Iran, and TASS adds a fabricated quote about Europe refusing to help the US because it wasn't warned about an attack on Iran.","Trusted media reports that Stubb suggested Europe could help the US in the Strait of Hormuz in exchange for US support for Ukraine, and also mentions Europe's reluctance to help due to lack of consultation from the US.","Russian state media, particularly TASS, fabricates a direct quote from Stubb stating that Europe refused to help the US because it wasn't warned about an attack on Iran. The other Russian state media outlets selectively focus on Stubb's 'concern' about US attention shifting, omitting the conditional offer of European help for Ukraine support. Trusted media accurately reports Stubb's conditional offer and the reason for European reluctance.",t,"",0.9,Fabricated quote to portray US-Europe disunity,2026-03-21 19:28:27.421867+00,10,t,t,"{err_rus,interfax,kommersant,meduza,postimees_rus,tass_ru,tribuna_ee,ukrinform}","{estonian_media,russian_independent,russian_language_ee,russian_state,trusted}"
4032,Novosibirsk Governor Andrey Travnikov commented on the forced culling of livestock in the region due to outbreaks of pasteurellosis and rabies.,"Russian state media reports focus on the governor's statements emphasizing the necessity and legality of the measures, the absence of new outbreaks, the lack of meat/milk shortages, and the completion of culling in some areas. They also mention the governor's initiative to limit alcohol sales, seemingly unrelated.","Meduza highlights the governor's first comment on the forced culling, noting that it 'caused protests from farmers' and quotes him on the 'strict but absolutely necessary measures'.","Russian state media systematically omits any mention of farmer protests or public discontent regarding the culling, focusing solely on the official narrative of effective and necessary measures. The inclusion of an unrelated alcohol sales initiative also serves to dilute the focus on the controversial culling.",t,"",0.9,Systematic omission of public discontent regarding livestock culling,2026-03-21 19:28:21.905972+00,11,t,t,"{interfax,kommersant,meduza,tass_ru,NULL}","{russian_independent,russian_state}"
3912,"The US announced the lifting of sanctions on several Belarusian banks and potash companies, including Belaruskali, following negotiations with Belarus, which included the release of political prisoners.","Russian state media reports the lifting of sanctions by the US on Belarusian entities (Belaruskali, two banks, and the Ministry of Finance) as a factual development, citing US Special Envoy John Coale.","Trusted/independent media also report the lifting of sanctions, often linking it to the release of political prisoners by Belarus. Baltic media specifically highlight concerns from Lithuanian officials about the implications for the region and reiterate Lithuania's unchanged stance on sanctions against Belarus.","The core information about the lifting of sanctions is consistent across both sources. The key difference is the additional context provided by trusted/independent media, particularly the Baltic outlets, which include the reason for the sanctions lift (release of political prisoners) and the reactions/concerns from regional actors like Lithuania. Russian state media presents it as a straightforward US decision without delving into the quid pro quo or regional implications.",f,"",0.9,"",2026-03-21 19:28:16.303954+00,12,t,t,"{delfi_lt_rus,interfax,kommersant,pravda_en,tass_ru,NULL}","{baltic_media,russian_state,ukraine_media}"
3826,"Authorities in Novosibirsk Oblast are completing the forced culling of livestock due to a pasteurellosis outbreak, with compensation being paid to affected farmers.","Russian state media focuses on the successful containment of the disease (no new cases for 15 days), the completion of livestock culling in large farms, and the ongoing process of paying compensation and developing support measures for affected farmers. The tone is generally positive, emphasizing government action and support.","Independent media (Meduza) reports on the completion of livestock culling and also highlights a 'United Russia' deputy apologizing to farmers for the forced culling 'on behalf of the Novosibirsk Oblast authorities,' suggesting a more critical perspective on the government's actions.","The key difference is the inclusion of the apology from a 'United Russia' deputy in the independent media, which is completely absent from the state media coverage. State media focuses solely on the positive aspects of disease control and compensation, omitting any acknowledgment of potential grievances or apologies from officials regarding the forced culling.",t,"",0.8,Omission of official apology to control narrative,2026-03-21 19:28:14.2321+00,14,t,t,"{interfax,kommersant,meduza,readovkanews}","{ru_proxy,russian_independent,russian_state}"
4174,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Trusted/independent media report the court's decision as a factual development, noting the reason for the extradition request (illegal excavations in Crimea) and clarifying that the decision is subject to appeal and final approval by the Polish justice minister. Ukraine's MFA positively assessed the decision.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",t,western_fatigue,0.9,Manufactured outrage and hostile framing of a legal extradition process,2026-03-21 19:28:12.226105+00,14,t,t,"{err_rus,kommersant,notesfrompoland,pravda_en,rt_russian,tass_ru,ukrinform}","{estonian_media,polish_media,russian_state,ru_state,trusted,ukraine_media}"
4138,"An Estonian official stated that a Russian Su-30 fighter jet violated Estonian airspace near Vaindloo island for approximately one minute, leading to Estonia summoning a Russian diplomat to issue a protest note.","Russian state media reports that Estonia 'stated' or 'accused' Russia of violating its airspace, often using hedging language like 'allegedly' (якобы) or 'as asserted' (как утверждается) when describing the violation. Some outlets mention that such statements from Estonia are 'constant' or that Italian air force planes intercepted the Russian jet, implying no real threat.","Trusted and independent media directly state that a Russian fighter jet 'breached' or 'violated' Estonia's airspace, citing Estonian officials and the Ministry of Foreign Affairs. They report the diplomatic protest as a direct consequence of the violation.","Russian state media consistently uses hedging language ('allegedly', 'as asserted') to cast doubt on the veracity of Estonia's claim, even though the event is reported as a fact by Estonian and independent media. One Russian state-affiliated outlet also downplays the incident by stating 'no threat to Estonia's security' and that such accusations are 'constant'.",t,"",0.8,Systematic doubt-casting and downplaying of airspace violation,2026-03-21 19:28:06.878195+00,14,t,t,"{bnn,defence_blog,err_en,err_rus,interfax,kommersant,meduza,mke_ee,postimees_rus,tass_ru,tribuna_ee,NULL}","{baltic_media,defense_osint,estonian_media,russian_independent,russian_language_ee,russian_state}"
4487,"Donald Trump made statements regarding NATO's future, its role in the Iran conflict, and its support for Ukraine, leading to reactions from various international figures.","Russian state media extensively covers Trump's statements, emphasizing his criticisms of NATO, his doubts about allies' commitment, and the 'bad future' he predicts for the alliance. They also highlight reactions from European politicians (Filippo, Stubb, Merz) that align with or amplify Trump's critical stance on NATO, and include comments from Russian officials (Dmitriev). The coverage suggests a weakening and divided NATO.","Trusted media reports on Trump's statements, particularly his warning about NATO's 'very bad future' if allies don't help in Iran and his comments about Ukraine. They also cover reactions from European officials, such as Germany's Defense Minister Boris Pistorius, who rejected Trump's call to send warships to the Strait of Hormuz, stating 'This is not our war.'","Russian state media's coverage is significantly more extensive and repetitive, creating an echo chamber around Trump's negative remarks about NATO. They selectively amplify voices (like Filippo) that call for NATO's dissolution and frame European reluctance to join the Iran conflict as a sign of NATO's internal strife and weakness. While trusted media reports on Trump's statements and European reactions, Russian state media actively constructs a narrative of NATO's impending collapse and disunity, using Trump's words as a primary source of legitimacy for this narrative. The sheer volume and consistent negative framing of NATO, coupled with the inclusion of Russian official commentary, suggest a coordinated effort to undermine the alliance's image.",t,nato_provocation,0.9,Coordinated amplification of Trump's anti-NATO rhetoric to portray alliance as failing and divided,2026-03-21 19:28:00.697978+00,15,t,t,"{meduza,rt_russian,tribuna_ee,NULL}","{russian_independent,russian_language_ee,russian_state,ru_state}"
