id,name,severity,confidence,status,event_fact,state_framing,framing_delta,detection_method,narrative_id,detected_at,signal_count,signatures
91,State media hedges Estonian airspace violation — questions sovereignty claims,MEDIUM,0.8,ACTIVE,"An Estonian official reported that a Russian Su-30 fighter jet briefly entered Estonian airspace near Vaindloo island on March 18th, leading to Estonia summoning a Russian diplomat to issue a protest note.","Russian state media reports on Estonia's claim of airspace violation, often using phrases like 'allegedly' (якобы) or 'as claimed' (как утверждается) to cast doubt on the incident. Some outlets also mention that such statements from Estonia are frequent.","",framing_analysis,"",2026-03-21 18:12:57.405608+00,14,"{""sources"": [""bnn"", ""defence_blog"", ""err_en"", ""err_rus"", ""interfax"", ""kommersant"", ""meduza"", ""mke_ee"", ""postimees_rus"", ""tass_ru"", ""tribuna_ee"", """"], ""cluster_id"": 2863, ""framing_id"": 13, ""narrative_code"": """", ""detection_method"": ""framing_analysis""}"
90,Butyagin extradition framed as political persecution by state media,HIGH,0.9,ACTIVE,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final say rests with the Polish justice minister.","Russian state media consistently frames the extradition decision as 'political,' lacking legal basis, and a threat to Butyagin's life and health. They highlight statements from Russian officials (MFA, Peskov, senators) and institutions (Hermitage, Russian Embassy in Poland) condemning the decision, emphasizing the appeal process, and portraying Butyagin as a potential 'hostage' of the 'Kyiv regime.' They also report on his personal feelings of not expecting 'anything good' from the court.","Russian state media employs hostile framing by labeling the court's decision as 'political' and 'without legal basis,' despite it being a legal process based on an extradition request. They also introduce the narrative of Butyagin becoming a 'hostage' and his life being threatened, which is speculative and designed to evoke outrage. The systematic omission of the specific charges (illegal excavations in occupied Crimea) in many headlines and lead paragraphs, instead focusing on him being a 'Russian archaeologist,' downplays the reason for the extradition request. The coordinated amplification of the 'political decision' and 'hostage' narratives by various state actors (MFA, Peskov, senators, Hermitage) suggests an information operation.",framing_analysis,hostile_framing,2026-03-21 18:12:57.399391+00,14,"{""sources"": [""err_rus"", ""kommersant"", ""notesfrompoland"", ""pravda_en"", ""rt_russian"", ""tass_ru"", ""ukrinform""], ""cluster_id"": 2897, ""framing_id"": 15, ""narrative_code"": ""hostile_framing"", ""detection_method"": ""framing_analysis""}"
89,Krikounov residency — manufactured outrage chain by TASS/RT,HIGH,0.85,ACTIVE,У хоккейного тренера Крикунова отобрали вид на жительство в Латвии,"2 outrage escalations from tass_ru, rt_russian in 8h",,outrage_chain,,2026-03-21 17:17:09.474135+00,4,"{""feeds"": [""tass_ru"", ""rt_russian""], ""timeline"": [""📰 У хоккейного тренера Крикунова отобрали вид на жительство в Латвии"", ""⚡ Журова допустила, что Крикунова могут лишить недвижимости в Латвии"", ""⚡ Журова допустила, что Крикунова могут лишить недвижимости в Латвии"", ""📰 У хоккейного тренера Крикунова отобрали вид на жительство в Латвии""], ""topic_key"": ""Крикунова Латвии"", ""signal_count"": 4, ""spread_hours"": 7.9591666666666665, ""outrage_count"": 2, ""detection_method"": ""outrage_chain""}"
88,TASS fabricates NATO commander in Iraq withdrawal coverage,HIGH,1,ACTIVE,"NATO's mission in Iraq was relocated to Europe, with troops departing Iraq.","TASS reports that NATO evacuated all troops from Iraq to Europe, citing General Alexus Grinkevich (who does not exist) and stating the mission will continue remotely from Naples. Another TASS article mentions Dutch military leaving Iraq after the mission transfer.","Russian state media invents a non-existent NATO commander ('Alexus Grinkevich') and attributes a statement to him, fabricating a source for their claim about the mission's relocation and remote operation. This is a clear fabrication of facts and sources.",framing_analysis,"",2026-03-21 16:49:42.022191+00,3,"{""sources"": [""15min_lt"", ""tass_ru""], ""cluster_id"": 169, ""framing_id"": 5, ""narrative_code"": """", ""detection_method"": ""framing_analysis""}"
86,War Panic,HIGH,0,RESOLVED,,,,,,2026-03-20 07:50:00.283983+00,0,"{""z_score"": ""2.2"", ""platforms"": ""osint_perplexity,rss,ru_legislation,telegram"", ""actor_count"": ""13"", ""detection_type"": ""multi_source_coordination"", ""narrative_code"": ""N2"", ""narrative_label"": ""War Panic""}"
84,Russophobia,HIGH,0,RESOLVED,,,,,,2026-03-19 01:50:00.125571+00,0,"{""z_score"": ""2.0"", ""platforms"": ""osint_perplexity,rss,telegram"", ""actor_count"": ""16"", ""detection_type"": ""multi_source_coordination"", ""narrative_code"": ""N1"", ""narrative_label"": ""Russophobia""}"
83,Isolation,HIGH,0,RESOLVED,,,,,,2026-03-18 19:50:00.608707+00,0,"{""z_score"": ""2.1"", ""platforms"": ""rss,telegram"", ""actor_count"": ""14"", ""detection_type"": ""multi_source_coordination"", ""narrative_code"": ""N5"", ""narrative_label"": ""Isolation""}"
77,Delegitimization,HIGH,0,RESOLVED,,,,,,2026-03-17 01:50:00.508157+00,0,"{""z_score"": ""2.3"", ""platforms"": ""osint_perplexity,rss,telegram"", ""actor_count"": ""19"", ""detection_type"": ""multi_source_coordination"", ""narrative_code"": ""N4"", ""narrative_label"": ""Delegitimization""}"
72,Baltic Political Repression Narrative Blitz,HIGH,1,RESOLVED,,,,,,2026-03-14 22:50:05.205796+00,42,"{""platforms"": [""osint_research"", ""rss"", ""telegram"", ""youtube""], ""top_actors"": [""Alexey Stefanov (Правфонд)"", ""Baltnews Estonia"", ""Gazeta.ee"", ""Jüri Kivit"", ""LSM RUS"", ""Perplexity OSINT Scanner"", ""Postimees RUS"", ""Tribuna.ee"", ""Балтийский мост"", ""Настоящее Время Балтия""], ""actor_count"": 11, ""narrative_code"": ""N5"", ""narrative_label"": ""Isolation / Victimhood"", ""detection_method"": ""narrative_burst"", ""evidence_details"": [""Narrative tag burst: 60 tags, 11 actors, 4 platforms""]}"
71,Kallas foreign policy criticism amplification,MEDIUM,0.15,RESOLVED,,,,,,2026-03-14 04:51:05.701142+00,3,"{""platforms"": [""rss"", ""youtube""], ""top_actors"": [""Aleksandr Chaplygin YouTube"", ""ERR RUS"", ""Postimees RUS""], ""actor_count"": 3, ""narrative_code"": null, ""narrative_label"": ""Pm Criticism"", ""detection_method"": ""cross_outlet"", ""evidence_details"": [""Cross-outlet amplification: 3 outlets (1 non-legitimate)"", ""FIMI keywords: PM/Leadership incompetence""]}"
70,Chaplygin-Kallas anti-Western framing push,MEDIUM,1,RESOLVED,,,,,,2026-03-14 04:50:05.524508+00,20,"{""platforms"": [""rss"", ""youtube""], ""top_actors"": [""Aleksandr Chaplygin YouTube"", ""ERR RUS"", ""Interfax"", ""Kommersant"", ""Nordic Defence Review"", ""Postimees RUS"", ""RT Russian"", ""TASS"", ""Tribuna.ee""], ""actor_count"": 9, ""narrative_code"": null, ""narrative_label"": ""Kallas"", ""detection_method"": ""cross_outlet"", ""evidence_details"": [""Cross-outlet amplification: 10 outlets (2 non-legitimate)""]}"
69,KOOS Russian Genocide Propaganda Push,CRITICAL,0.4,RESOLVED,,,,,,2026-03-13 16:50:11.124011+00,4,"{""platforms"": [""rss"", ""youtube""], ""top_actors"": [""KOOS YouTube"", ""RT Russian"", ""TASS""], ""actor_count"": 3, ""narrative_code"": ""N1"", ""narrative_label"": ""Russophobia / Persecution"", ""detection_method"": ""fimi_keywords"", ""evidence_details"": [""FIMI keywords detected: Citizenship stripping narrative, Genocide rhetoric against Estonian Russians, Russophobia framing, Ungrateful Balts trope""]}"
68,Narva Separatism Propaganda Surge,CRITICAL,0.4,RESOLVED,,,,,,2026-03-13 16:50:09.222821+00,4,"{""platforms"": [""rss"", ""youtube""], ""top_actors"": [""ERR RUS"", ""KOOS YouTube"", ""Postimees RUS"", ""Tribuna.ee""], ""actor_count"": 4, ""narrative_code"": ""N5"", ""narrative_label"": ""Isolation / Victimhood"", ""detection_method"": ""fimi_keywords"", ""evidence_details"": [""FIMI keywords detected: Narva separatism, State fights own people""]}"
67,Chaplygin EKRE Nuclear Fear Amplification,HIGH,0.4,RESOLVED,,,,,,2026-03-13 16:50:07.192627+00,8,"{""platforms"": [""rss"", ""youtube""], ""top_actors"": [""Aleksandr Chaplygin YouTube"", ""ERR RUS"", ""Gazeta.ee"", ""Postimees RUS"", ""RT Russian"", ""Tribuna.ee""], ""actor_count"": 6, ""narrative_code"": null, ""narrative_label"": ""Ekre Helme"", ""detection_method"": ""cross_outlet"", ""evidence_details"": [""Cross-outlet amplification: 6 outlets (1 non-legitimate)"", ""FIMI keywords: Nuclear weapons in Baltics fear""]}"
66,KOOS Anti-Estonia YouTube Blitz,MEDIUM,0.7,RESOLVED,,,,,,2026-03-13 16:50:05.218237+00,14,"{""platforms"": [""youtube""], ""top_actors"": [""KOOS YouTube""], ""actor_count"": 1, ""narrative_code"": null, ""narrative_label"": ""KOOS YouTube"", ""detection_method"": ""actor_burst"", ""evidence_details"": [""Actor burst: 14 signals in 7d (64% Baltic-focused)"", ""FIMI keywords: State fights own people, Dragged into war narrative, Dictatorship framing""]}"
65,Baltic Energy Crisis Disinformation Push,HIGH,1,RESOLVED,,,,,,2026-03-13 04:50:31.51584+00,12,"{""platforms"": [""rss"", ""telegram"", ""youtube""], ""top_actors"": [""Baltnews Estonia"", ""LSM RUS"", ""Tribuna.ee"", ""Yelena Natalova"", ""Настоящее Время Балтия"", ""Тени Прибалтики""], ""actor_count"": 6, ""narrative_code"": ""N3"", ""narrative_label"": ""Aid = Theft"", ""detection_method"": ""narrative_burst"", ""evidence_details"": [""Narrative tag burst: 24 tags, 6 actors, 3 platforms""]}"
64,Stefanov Baltic Repression Narrative Blitz,HIGH,1,RESOLVED,,,,,,2026-03-13 04:50:29.901526+00,26,"{""platforms"": [""osint_research"", ""rss"", ""telegram"", ""youtube""], ""top_actors"": [""Alexey Stefanov (Правфонд)"", ""Baltnews Estonia"", ""ERR RUS"", ""Gazeta.ee"", ""LSM RUS"", ""Perplexity OSINT Scanner"", ""Postimees RUS"", ""Tribuna.ee"", ""Балтийский мост"", ""Настоящее Время Балтия""], ""actor_count"": 11, ""narrative_code"": ""N5"", ""narrative_label"": ""Isolation / Victimhood"", ""detection_method"": ""narrative_burst"", ""evidence_details"": [""Narrative tag burst: 41 tags, 11 actors, 4 platforms""]}"
63,Estonian Language Militarization Push,HIGH,1,RESOLVED,,,,,,2026-03-13 04:50:27.762494+00,34,"{""platforms"": [""rss"", ""telegram"", ""youtube""], ""top_actors"": [""Alexey Stefanov (Правфонд)"", ""Baltnews Estonia"", ""ERR RUS"", ""Estonian MOD"", ""Gazeta.ee"", ""Jüri Kivit"", ""Kommersant"", ""Postimees RUS"", ""Tribuna.ee"", ""Балтийский мост""], ""actor_count"": 11, ""narrative_code"": ""N1"", ""narrative_label"": ""Russophobia / Persecution"", ""detection_method"": ""narrative_burst"", ""evidence_details"": [""Narrative tag burst: 50 tags, 11 actors, 3 platforms""]}"
62,Baltic Tension Amplification by Pro-Russian Media,HIGH,1,RESOLVED,,,,,,2026-03-13 04:50:23.503683+00,43,"{""platforms"": [""osint_research"", ""rss"", ""telegram"", ""youtube""], ""top_actors"": [""Baltnews Estonia"", ""ERR RUS"", ""Interfax"", ""LSM RUS"", ""Perplexity OSINT Scanner"", ""RT Russian"", ""TASS"", ""Tribuna.ee"", ""Настоящее Время Балтия"", ""Тени Прибалтики""], ""actor_count"": 10, ""narrative_code"": ""N2"", ""narrative_label"": ""War Escalation Panic"", ""detection_method"": ""narrative_burst"", ""evidence_details"": [""Narrative tag burst: 60 tags, 10 actors, 4 platforms""]}"
