id,name,detected_at,start_time,end_time,confidence,severity,summary,trigger_event,detection_method,event_fact,state_framing,trusted_framing,framing_delta,status,target_regions,narrative_id,cluster_id,review_status,confidence_raw,signal_count
127,voenacher blitz — 22 posts (z=3.8),2026-03-24 16:50:00.528194+00,2026-03-24 16:50:00.528194+00,,0.7594311,MEDIUM,"Actor blitz: voenacher (ru_proxy) published 22 signals today (baseline: 11±3/day, z=3.8σ). Narratives: .",actor_blitz,,,,,,ACTIVE,{global},,,auto,,24
126,rezident_ua blitz — 10 posts (z=4.9),2026-03-22 22:50:00.356771+00,2026-03-22 22:50:00.356771+00,,0.98652166,MEDIUM,"Actor blitz: rezident_ua (unverified_anonymous) published 10 signals today (baseline: 3±2/day, z=4.9σ). Narratives: .",actor_blitz,,,,,,RESOLVED,{global},,,auto,,10
125,Bild Baltic Map Panic — Ukrainian Channel Fabrication (10 signals),2026-03-22 17:10:16.96004+00,,,0.95,HIGH,"Ukrainian Telegram channels transformed speculative Bild article into fabricated invasion claims. 1.5M views, 0 verifiable sources. Top threat this week.",,,,,,,RESOLVED,"{baltic,estonia}",,,auto,,0
124,"western_fatigue spike — err_rus, rt_russian, RVvoenkor (7 signals)",2026-03-22 16:50:00.365136+00,2026-03-22 16:50:00.365136+00,,0.6,MEDIUM,"Narrative ""western_fatigue"" spiking across 5 actors (rss, telegram_channel): err_rus, rt_russian, RVvoenkor, rybar, tass_ru. 7 signals in 24h (baseline: 2±1 actors/day, z=3.0σ).",narrative_spike,,,,,,RESOLVED,{global},,,auto,,7
123,Hostile framing of US envoy's statements to legitimize Lukashenko and downplay Ukraine conflict,2026-03-21 21:59:14.030493+00,2026-03-21 21:59:14.030493+00,,0.8,HIGH,"Event: US Special Envoy John Cole met with Belarusian President Alexander Lukashenko in Minsk, following a visit to Vilnius.. State media framing: Russian state media emphasizes the meeting between Lukashenko and Cole, highlighting Cole's statements that Lukashenko's opinion is 'valuable' and that the Middle East situation is more important to the US than the conflict in Ukraine. They also report on the lifting of sanctions on Belarusian entities and a potential invitation for Lukashenko to visit the US, framing it as a 'real victory' for Belarus.. Detected across 6 sources (delfi_lt_rus, interfax, kommersant, pul_1, rt_russian, verstka). Confidence: 80%.",framing_analysis,framing_analysis,"US Special Envoy John Cole met with Belarusian President Alexander Lukashenko in Minsk, following a visit to Vilnius.","Russian state media emphasizes the meeting between Lukashenko and Cole, highlighting Cole's statements that Lukashenko's opinion is 'valuable' and that the Middle East situation is more important to the US than the conflict in Ukraine. They also report on the lifting of sanctions on Belarusian entities and a potential invitation for Lukashenko to visit the US, framing it as a 'real victory' for Belarus.","Trusted/independent media also covers Cole's visit to Minsk and Vilnius, noting his meetings with various Lithuanian officials. They speculate on the purpose of his visit, including the potential for resolving the transit of Belarusian fertilizers through Lithuania and the lifting of sanctions. Some reports mention the lifting of sanctions and a possible US invitation for Lukashenko.","Russian state media, particularly RT and Pul Pervogo, selectively highlight Cole's statements to portray Lukashenko as a respected international figure whose opinion is valued by the US, and to suggest a shift in US priorities away from Ukraine. They also emphasize the lifting of sanctions as a 'victory' for Belarus. While the lifting of sanctions is reported by independent media, the specific quotes attributed to Cole regarding Lukashenko's 'valuable opinion' and the US prioritizing the Middle East over Ukraine appear to be amplified and framed to serve a specific narrative by state media. The claim of Lukashenko being invited to the US is also presented as a definitive outcome by some state-aligned sources.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",5138,auto,0.8,11
122,Omission of Russian involvement in shadow fleet activities,2026-03-21 21:59:14.027142+00,2026-03-21 21:59:14.027142+00,,0.9,MEDIUM,"Event: Swedish authorities intercepted the tanker Sea Owl I, suspected of being part of Russia's shadow fleet, and arrested its Russian captain.. State media framing: RT reports that Sweden intercepted the Comoros-flagged tanker Sea Owl I in the Baltic Sea, suspected of lacking nationality. The article is very brief and factual, citing Reuters.. Detected across 1 sources (bnn). Confidence: 90%.",framing_analysis,framing_analysis,"Swedish authorities intercepted the tanker Sea Owl I, suspected of being part of Russia's shadow fleet, and arrested its Russian captain.","RT reports that Sweden intercepted the Comoros-flagged tanker Sea Owl I in the Baltic Sea, suspected of lacking nationality. The article is very brief and factual, citing Reuters.","BNN/Baltic Media reports that a Swedish court ordered the arrest of the captain of a ship sailing under a fake flag, believed to be part of Russia's shadow fleet. It explicitly states the captain is a Russian citizen and cites the BBC.","Russian state media omits the crucial detail that the ship is suspected of being part of Russia's 'shadow fleet' and that the arrested captain is a Russian citizen. Instead, it uses the vague phrase 'suspected of lacking nationality' and focuses on the Comoros flag, which is less incriminating for Russia.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",6015,auto,0.9,2
121,Widespread Mobile Internet Outages Are Lawful and Needed for… — Injection cascade: 2-category amplification over 9d (6 signals),2026-03-21 21:55:36.53199+00,2026-03-21 21:55:36.53199+00,,0.6666667,MEDIUM,Injection cascade: 6 signals over 202h from 2 categories. A social media event amplified by trusted media into a region-wide story. Score: 8/12. Chain: russian_independent(+0h) → ukraine_media(+144h),injection_cascade,injection_cascade,"Widespread Mobile Internet Outages Are Lawful and Needed for Security, Kremlin Says","INJECTION detected: score 8/12, social_origin + organic_spread_202h + disproportionate_6_signals + slow_cascade_144h",,,RESOLVED,,,,auto,,6
120,Omission of official apology to control narrative,2026-03-21 19:34:15.939211+00,2026-03-21 19:34:15.939211+00,,0.8,HIGH,"Event: Authorities in Novosibirsk Oblast are completing the forced culling of livestock due to a pasteurellosis outbreak, with compensation being paid to affected farmers.. State media framing: Russian state media focuses on the successful containment of the disease (no new cases for 15 days), the completion of livestock culling in large farms, and the ongoing process of paying compensation and developing support measures for affected farmers. The tone is generally positive, emphasizing government action and support.. Detected across 4 sources (interfax, kommersant, meduza, readovkanews). Confidence: 80%.",framing_analysis,framing_analysis,"Authorities in Novosibirsk Oblast are completing the forced culling of livestock due to a pasteurellosis outbreak, with compensation being paid to affected farmers.","Russian state media focuses on the successful containment of the disease (no new cases for 15 days), the completion of livestock culling in large farms, and the ongoing process of paying compensation and developing support measures for affected farmers. The tone is generally positive, emphasizing government action and support.","Independent media (Meduza) reports on the completion of livestock culling and also highlights a 'United Russia' deputy apologizing to farmers for the forced culling 'on behalf of the Novosibirsk Oblast authorities,' suggesting a more critical perspective on the government's actions.","The key difference is the inclusion of the apology from a 'United Russia' deputy in the independent media, which is completely absent from the state media coverage. State media focuses solely on the positive aspects of disease control and compensation, omitting any acknowledgment of potential grievances or apologies from officials regarding the forced culling.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",3826,auto,,14
119,Systematic doubt-casting and downplaying of airspace violation,2026-03-21 19:34:15.934403+00,2026-03-21 19:34:15.934403+00,,0.8,HIGH,"Event: An Estonian official stated that a Russian Su-30 fighter jet violated Estonian airspace near Vaindloo island for approximately one minute, leading to Estonia summoning a Russian diplomat to issue a protest note.. State media framing: Russian state media reports that Estonia 'stated' or 'accused' Russia of violating its airspace, often using hedging language like 'allegedly' (якобы) or 'as asserted' (как утверждается) when describing the violation. Some outlets mention that such statements from Estonia are 'constant' or that Italian air force planes intercepted the Russian jet, implying no real threat.. Detected across 11 sources (bnn, defence_blog, err_en, err_rus, interfax, kommersant, meduza, mke_ee, postimees_rus, tass_ru, tribuna_ee). Confidence: 80%.",framing_analysis,framing_analysis,"An Estonian official stated that a Russian Su-30 fighter jet violated Estonian airspace near Vaindloo island for approximately one minute, leading to Estonia summoning a Russian diplomat to issue a protest note.","Russian state media reports that Estonia 'stated' or 'accused' Russia of violating its airspace, often using hedging language like 'allegedly' (якобы) or 'as asserted' (как утверждается) when describing the violation. Some outlets mention that such statements from Estonia are 'constant' or that Italian air force planes intercepted the Russian jet, implying no real threat.","Trusted and independent media directly state that a Russian fighter jet 'breached' or 'violated' Estonia's airspace, citing Estonian officials and the Ministry of Foreign Affairs. They report the diplomatic protest as a direct consequence of the violation.","Russian state media consistently uses hedging language ('allegedly', 'as asserted') to cast doubt on the veracity of Estonia's claim, even though the event is reported as a fact by Estonian and independent media. One Russian state-affiliated outlet also downplays the incident by stating 'no threat to Estonia's security' and that such accusations are 'constant'.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",4138,auto,,14
118,Systematic omission of public discontent regarding livestock culling,2026-03-21 19:34:15.921954+00,2026-03-21 19:34:15.921954+00,,0.9,HIGH,"Event: Novosibirsk Governor Andrey Travnikov commented on the forced culling of livestock in the region due to outbreaks of pasteurellosis and rabies.. State media framing: Russian state media reports focus on the governor's statements emphasizing the necessity and legality of the measures, the absence of new outbreaks, the lack of meat/milk shortages, and the completion of culling in some areas. They also mention the governor's initiative to limit alcohol sales, seemingly unrelated.. Detected across 4 sources (interfax, kommersant, meduza, tass_ru). Confidence: 90%.",framing_analysis,framing_analysis,Novosibirsk Governor Andrey Travnikov commented on the forced culling of livestock in the region due to outbreaks of pasteurellosis and rabies.,"Russian state media reports focus on the governor's statements emphasizing the necessity and legality of the measures, the absence of new outbreaks, the lack of meat/milk shortages, and the completion of culling in some areas. They also mention the governor's initiative to limit alcohol sales, seemingly unrelated.","Meduza highlights the governor's first comment on the forced culling, noting that it 'caused protests from farmers' and quotes him on the 'strict but absolutely necessary measures'.","Russian state media systematically omits any mention of farmer protests or public discontent regarding the culling, focusing solely on the official narrative of effective and necessary measures. The inclusion of an unrelated alcohol sales initiative also serves to dilute the focus on the controversial culling.",RESOLVED,"{baltic,estonia,latvia,lithuania}","",4032,auto,,11
