campaign_id,name,severity,signal_count,detected_at,summary,is_hostile_confirmed,notes,labeled_by,labeled_at,llm_label,llm_confidence,llm_reasoning
120,Omission of official apology to control narrative,HIGH,14,2026-03-21 19:34:15.939211+00,"Authorities in Novosibirsk Oblast are completing the forced culling of livestock due to a pasteurellosis outbreak, with compensation being paid to affected farmers.",HOSTILE,,algorithm_name_matching,2026-03-23,ORGANIC,0.75,"The campaign describes routine government disease control measures and farmer compensation with no evidence of fabricated content, state media coordination for disinformation purposes, or clickbait monetization patterns."
119,Systematic doubt-casting and downplaying of airspace violation,HIGH,14,2026-03-21 19:34:15.934403+00,"An Estonian official stated that a Russian Su-30 fighter jet violated Estonian airspace near Vaindloo island for approximately one minute, leading to Estonia summoning a Russian diplomat to issue a pr",HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.85,"The campaign involves systematic doubt-casting and downplaying of a documented airspace violation by Russian military aircraft, which is a classic state-directed disinformation tactic to minimize accountability for aggressive military actions."
118,Systematic omission of public discontent regarding livestock culling,HIGH,11,2026-03-21 19:34:15.921954+00,Novosibirsk Governor Andrey Travnikov commented on the forced culling of livestock in the region due to outbreaks of pasteurellosis and rabies.,HOSTILE,,algorithm_name_matching,2026-03-23,ORGANIC,0.7,"The campaign describes a government official commenting on a legitimate public health issue (livestock disease outbreaks requiring culling), which is standard newsworthy content with no evidence of fabrication, coordination, or manipulation."
117,Coordinated amplification of Trump's anti-NATO rhetoric to portray alliance as failing and divided,MEDIUM,15,2026-03-21 19:32:55.414902+00,"Donald Trump made statements regarding NATO's future, its role in the Iran conflict, and its support for Ukraine, leading to reactions from various international figures.",HOSTILE,,algorithm_name_matching,2026-03-23,ORGANIC,0.7,"The campaign describes legitimate news coverage of Trump's public statements about NATO and subsequent international reactions, with no evidence provided of state coordination, fabricated content, or monetization schemes."
111,Trusted media amplifies Russia-as-culture-weapon narrative across 3 Baltic categories,MEDIUM,9,2026-03-21 19:28:49.097251+00,"Пурга: мы не можем принять, что Россия использует культуру как инструмент военной пропаганды",HOSTILE,,algorithm_name_matching,2026-03-23,ORGANIC,0.65,"The campaign appears to be legitimate media coverage of Baltic concerns about Russian cultural influence as a propaganda tool, with no evidence of fabricated content, state coordination, or clickbait monetization patterns."
108,Fabricated quote to portray US-Europe disunity,HIGH,10,2026-03-21 19:28:46.990764+00,"Finnish President Alexander Stubb commented on Europe's potential military assistance to the US in the Strait of Hormuz in exchange for US support for Ukraine, and the US focus on Iran.",HOSTILE,,algorithm_name_matching,2026-03-23,ORGANIC,0.6,"The campaign describes a Finnish President's public comments on geopolitical matters, which appears to be legitimate news coverage of official statements without evidence of fabrication, state coordination, or monetization schemes."
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,14,2026-03-21 19:28:45.966505+00,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be ap",HOSTILE,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.75,"The campaign name describes a framing pattern ('manufactured outrage and hostile framing') rather than a specific disinformation operation, and the summary appears incomplete without evidence of state coordination, fabricated content, or monetization schemes."
104,Manufactured outrage: tass_ru/rt_russian creates 4-article reaction chain over Крикунова Латвии,MEDIUM,4,2026-03-21 19:27:27.930677+00,У хоккейного тренера Крикунова отобрали вид на жительство в Латвии,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.75,State media outlets (TASS and RT Russian) creating a coordinated 4-article reaction chain about a Latvian residency issue suggests state-directed amplification to manufacture outrage against Latvia.
86,War Panic,HIGH,0,2026-03-20 07:50:00.283983+00,,NARRATIVE_TAG,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.95,"The campaign name 'War Panic' is a generic thematic category with zero signals and no specific evidence of coordination, fabrication, or actual content to analyze."
84,Russophobia,HIGH,0,2026-03-19 01:50:00.125571+00,,NARRATIVE_TAG,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.95,"The campaign name 'Russophobia' is a generic narrative theme with no specific evidence, zero signals, and no summary content indicating an actual coordinated campaign."
